"Point.id","Lon","Lat","Ran","PETmin","TOPOG"
307,-7754805.54136,2533605.80355,NA,NA,NA
308,-7654805.54136,2533605.80355,NA,NA,NA
309,-7554805.54136,2533605.80355,NA,NA,NA
310,-7454805.54136,2533605.80355,NA,NA,NA
311,-7354805.54136,2533605.80355,NA,NA,NA
312,-7254805.54136,2533605.80355,NA,NA,NA
313,-7154805.54136,2533605.80355,NA,NA,NA
314,-7054805.54136,2533605.80355,NA,NA,NA
315,-6954805.54136,2533605.80355,NA,NA,NA
316,-6854805.54136,2533605.80355,NA,NA,NA
317,-6754805.54136,2533605.80355,NA,NA,NA
318,-6654805.54136,2533605.80355,NA,NA,NA
319,-6554805.54136,2533605.80355,NA,NA,NA
320,-6454805.54136,2533605.80355,NA,NA,NA
321,-6354805.54136,2533605.80355,NA,NA,NA
322,-6254805.54136,2533605.80355,NA,NA,NA
323,-6154805.54136,2533605.80355,NA,NA,NA
324,-6054805.54136,2533605.80355,NA,NA,NA
325,-5954805.54136,2533605.80355,NA,NA,NA
326,-5854805.54136,2533605.80355,NA,NA,NA
327,-5754805.54136,2533605.80355,NA,NA,NA
328,-5654805.54136,2533605.80355,NA,NA,NA
329,-5554805.54136,2533605.80355,NA,NA,NA
330,-5454805.54136,2533605.80355,NA,NA,NA
331,-5354805.54136,2533605.80355,NA,NA,NA
332,-5254805.54136,2533605.80355,NA,NA,NA
333,-5154805.54136,2533605.80355,NA,NA,NA
334,-5054805.54136,2533605.80355,NA,NA,NA
335,-4954805.54136,2533605.80355,NA,NA,NA
336,-4854805.54136,2533605.80355,NA,NA,NA
337,-10354805.5414,2433605.80355,NA,NA,NA
338,-10254805.5414,2433605.80355,NA,NA,NA
349,-9154805.54136,2433605.80355,NA,NA,NA
350,-9054805.54136,2433605.80355,NA,NA,NA
351,-8954805.54136,2433605.80355,NA,NA,NA
352,-8854805.54136,2433605.80355,NA,NA,NA
357,-8354805.54136,2433605.80355,NA,NA,NA
358,-8254805.54136,2433605.80355,NA,NA,NA
359,-8154805.54136,2433605.80355,NA,NA,NA
360,-8054805.54136,2433605.80355,NA,NA,NA
361,-7954805.54136,2433605.80355,NA,NA,NA
362,-7854805.54136,2433605.80355,NA,NA,NA
363,-7754805.54136,2433605.80355,NA,NA,NA
364,-7654805.54136,2433605.80355,NA,NA,NA
365,-7554805.54136,2433605.80355,NA,NA,NA
366,-7454805.54136,2433605.80355,NA,NA,NA
367,-7354805.54136,2433605.80355,NA,NA,NA
368,-7254805.54136,2433605.80355,NA,NA,NA
369,-7154805.54136,2433605.80355,NA,NA,NA
370,-7054805.54136,2433605.80355,NA,NA,NA
371,-6954805.54136,2433605.80355,NA,NA,NA
372,-6854805.54136,2433605.80355,NA,NA,NA
373,-6754805.54136,2433605.80355,NA,NA,NA
374,-6654805.54136,2433605.80355,NA,NA,NA
375,-6554805.54136,2433605.80355,NA,NA,NA
376,-6454805.54136,2433605.80355,NA,NA,NA
377,-6354805.54136,2433605.80355,NA,NA,NA
378,-6254805.54136,2433605.80355,NA,NA,NA
379,-6154805.54136,2433605.80355,NA,NA,NA
380,-6054805.54136,2433605.80355,NA,NA,NA
381,-5954805.54136,2433605.80355,NA,NA,NA
382,-5854805.54136,2433605.80355,NA,NA,NA
383,-5754805.54136,2433605.80355,NA,NA,NA
384,-5654805.54136,2433605.80355,NA,NA,NA
385,-5554805.54136,2433605.80355,NA,NA,NA
386,-5454805.54136,2433605.80355,NA,NA,NA
387,-5354805.54136,2433605.80355,NA,NA,NA
388,-5254805.54136,2433605.80355,NA,NA,NA
389,-5154805.54136,2433605.80355,NA,NA,NA
390,-5054805.54136,2433605.80355,NA,NA,NA
391,-4954805.54136,2433605.80355,NA,NA,NA
392,-4854805.54136,2433605.80355,NA,NA,NA
393,-10354805.5414,2333605.80355,NA,NA,NA
394,-10254805.5414,2333605.80355,NA,NA,NA
395,-10154805.5414,2333605.80355,NA,NA,NA
413,-8354805.54136,2333605.80355,NA,NA,NA
414,-8254805.54136,2333605.80355,NA,NA,NA
415,-8154805.54136,2333605.80355,NA,NA,NA
416,-8054805.54136,2333605.80355,NA,NA,NA
417,-7954805.54136,2333605.80355,NA,NA,NA
418,-7854805.54136,2333605.80355,NA,NA,NA
419,-7754805.54136,2333605.80355,NA,NA,NA
420,-7654805.54136,2333605.80355,NA,NA,NA
421,-7554805.54136,2333605.80355,NA,NA,NA
422,-7454805.54136,2333605.80355,NA,NA,NA
423,-7354805.54136,2333605.80355,NA,NA,NA
424,-7254805.54136,2333605.80355,NA,NA,NA
425,-7154805.54136,2333605.80355,NA,NA,NA
426,-7054805.54136,2333605.80355,NA,NA,NA
427,-6954805.54136,2333605.80355,NA,NA,NA
428,-6854805.54136,2333605.80355,NA,NA,NA
429,-6754805.54136,2333605.80355,NA,NA,NA
430,-6654805.54136,2333605.80355,NA,NA,NA
431,-6554805.54136,2333605.80355,NA,NA,NA
432,-6454805.54136,2333605.80355,NA,NA,NA
433,-6354805.54136,2333605.80355,NA,NA,NA
434,-6254805.54136,2333605.80355,NA,NA,NA
435,-6154805.54136,2333605.80355,NA,NA,NA
436,-6054805.54136,2333605.80355,NA,NA,NA
437,-5954805.54136,2333605.80355,NA,NA,NA
438,-5854805.54136,2333605.80355,NA,NA,NA
439,-5754805.54136,2333605.80355,NA,NA,NA
440,-5654805.54136,2333605.80355,NA,NA,NA
441,-5554805.54136,2333605.80355,NA,NA,NA
442,-5454805.54136,2333605.80355,NA,NA,NA
443,-5354805.54136,2333605.80355,NA,NA,NA
444,-5254805.54136,2333605.80355,NA,NA,NA
445,-5154805.54136,2333605.80355,NA,NA,NA
446,-5054805.54136,2333605.80355,NA,NA,NA
447,-4954805.54136,2333605.80355,NA,NA,NA
448,-4854805.54136,2333605.80355,NA,NA,NA
449,-10354805.5414,2233605.80355,NA,NA,NA
450,-10254805.5414,2233605.80355,NA,NA,NA
451,-10154805.5414,2233605.80355,NA,NA,NA
452,-10054805.5414,2233605.80355,NA,NA,NA
469,-8354805.54136,2233605.80355,NA,NA,NA
470,-8254805.54136,2233605.80355,NA,NA,NA
471,-8154805.54136,2233605.80355,NA,NA,NA
472,-8054805.54136,2233605.80355,NA,NA,NA
473,-7954805.54136,2233605.80355,NA,NA,NA
474,-7854805.54136,2233605.80355,NA,NA,NA
475,-7754805.54136,2233605.80355,NA,NA,NA
476,-7654805.54136,2233605.80355,NA,NA,NA
477,-7554805.54136,2233605.80355,NA,NA,NA
478,-7454805.54136,2233605.80355,NA,NA,NA
479,-7354805.54136,2233605.80355,NA,NA,NA
480,-7254805.54136,2233605.80355,NA,NA,NA
481,-7154805.54136,2233605.80355,NA,NA,NA
482,-7054805.54136,2233605.80355,NA,NA,NA
483,-6954805.54136,2233605.80355,NA,NA,NA
484,-6854805.54136,2233605.80355,NA,NA,NA
485,-6754805.54136,2233605.80355,NA,NA,NA
486,-6654805.54136,2233605.80355,NA,NA,NA
487,-6554805.54136,2233605.80355,NA,NA,NA
