gene_id	GSM158644.CEL	GSM158645.CEL	GSM158646.CEL	GSM241999.CEL	GSM242000.CEL	GSM242001.CEL	GSM242002.CEL	GSM242003.CEL	GSM242004.CEL	GSM242005.CEL	GSM242006.CEL	GSM242007.CEL	GSM242008.CEL	GSM242009.CEL	GSM242010.CEL	GSM242011.CEL	GSM242012.CEL	GSM242013.CEL	GSM398074.CEL	GSM398076.CEL	GSM398078.CEL	GSM398080.CEL	GSM398082.CEL	GSM398084.CEL	GSM398086.CEL	GSM398088.CEL	GSM398090.CEL	GSM398092.CEL	GSM398094.CEL	GSM398096.CEL	GSM398098.CEL	GSM398100.CEL	GSM398102.CEL	GSM398104.CEL	GSM398106.CEL	GSM398108.CEL	GSM398110.CEL	GSM398112.CEL	GSM398114.CEL	GSM398116.CEL	GSM398118.CEL	GSM398120.CEL	GSM398122.CEL	GSM398124.CEL	GSM398126.CEL	GSM398128.CEL	GSM398130.CEL	GSM398132.CEL	GSM398134.CEL
201265_at	7.10248	6.76398	6.48202	6.85495	6.67386	6.4408	6.4973	6.34569	7.0998	6.67935	6.51161	6.50711	6.24565	6.5785	6.34431	6.60168	6.44017	6.56974	7.34702	6.84929	7.44219	6.88608	7.00883	7.05339	7.2498	7.04496	6.91692	7.13127	6.97113	6.95781	7.09456	7.77772	7.03562	7.13833	7.05284	6.58067	6.60219	7.09098	6.8652	6.16025	6.7343	6.79831	6.97767	6.80645	7.38601	7.10136	7.32187	7.07	6.72566
201268_at	10.6467	10.4559	10.6226	11.2896	11.7106	11.2863	11.4839	11.2894	11.5806	11.7836	11.5329	11.3962	11.3758	11.4116	10.8482	11.3065	11.6412	11.3848	7.8149	7.26655	7.72304	7.3021	8.12164	8.11594	8.71303	7.4598	7.31807	7.35926	7.68992	8.07342	7.9365	7.36753	8.49154	8.07643	8.3697	8.63752	8.4341	8.04688	8.21498	8.8238	8.45036	8.43218	8.02994	8.26395	8.28739	7.81988	8.00633	7.74361	7.49243
201293_x_at	11.8793	11.4356	13.3471	12.6223	12.3633	12.6914	12.6719	12.1442	12.0788	12.3596	12.7043	12.5165	12.9032	12.0348	12.0465	11.9507	12.3921	13.0341	8.77265	8.50561	9.14421	8.52902	9.03801	9.56773	10.0318	8.93435	8.48559	8.98614	9.07809	9.32504	9.23675	9.13672	10.0204	9.86788	9.83821	9.68357	10.1875	9.63237	10.0349	10.4449	9.82329	8.94421	9.07458	9.4005	9.95075	9.85064	9.32576	8.97633	8.85099
201318_s_at	9.64745	10.1247	10.7747	10.4572	10.3609	10.519	10.5428	10.1324	10.4179	10.1008	11.0206	11.1279	10.595	10.3979	10.8338	10.1334	10.2432	10.6544	6.99417	7.14764	7.3729	7.33258	7.90496	8.19946	8.03075	7.21556	6.90588	7.64209	7.52116	8.01926	7.33327	7.76319	8.88674	8.33862	8.3931	8.29572	8.42816	8.5465	8.67581	9.12779	8.39465	7.91451	7.96626	8.40291	8.17768	8.28576	7.94866	7.3087	7.48827
201406_at	10.9541	10.8198	10.9284	12.8829	12.7036	12.4429	12.2359	12.6759	12.6224	12.5404	12.7854	12.6923	12.6046	13.0441	12.0351	12.7356	12.9917	12.0675	9.234	8.79129	8.29982	8.85684	8.71909	8.86967	9.13437	8.27696	8.84203	8.54837	8.95319	8.8408	8.71231	9.00589	8.33726	8.1732	8.25344	8.93545	8.64956	8.84699	8.7513	9.45755	8.10343	8.80741	9.01383	8.27393	8.78587	8.56419	8.0232	7.95671	8.33831
201422_at	9.80304	9.84403	9.81626	9.39802	9.52401	9.37525	9.08412	9.03772	9.45114	8.99037	9.88103	9.94393	9.26234	9.71397	9.41688	8.82974	9.00425	9.75303	9.79575	9.50951	9.61556	9.87975	9.87726	9.32003	9.43485	9.5845	9.54084	8.86213	9.61992	9.83765	9.26579	8.8852	9.3584	9.79217	9.2546	10.1773	9.75682	9.17153	9.12626	9.68113	9.75408	9.83051	9.39707	9.70275	9.92664	9.08917	9.74061	9.91156	8.91545
201478_s_at	7.30533	7.82894	8.47185	8.27822	8.56368	8.3359	8.29819	8.6343	8.75024	8.83791	8.8933	8.81203	8.77482	7.7343	8.75096	8.58921	8.70767	8.98672	8.28585	7.30751	7.62552	7.45745	8.41771	7.62314	8.23101	8.21645	7.72212	7.70781	7.3773	7.60275	7.78187	7.69307	7.99898	8.04618	7.7904	7.97087	8.11241	8.32451	8.28086	8.29645	8.07802	8.02422	7.80666	8.40049	8.32492	8.04124	8.29796	8.22953	8.4221
201479_at	10.1327	10.3009	10.1657	11.2904	11.3345	11.1545	11.2214	11.7436	11.8345	11.7426	11.235	11.3376	11.4455	10.8113	11.387	11.5799	11.9258	11.1296	7.76506	7.65897	7.85513	7.82664	8.07727	8.05365	8.43059	7.08679	7.57348	7.5792	7.62953	8.20734	8.2948	7.46889	7.85031	8.19353	7.19075	8.02879	7.79937	8.01182	8.10537	8.44561	7.80822	7.9014	7.77044	7.719	8.0824	7.71296	7.86835	7.61382	7.91686
201522_x_at	9.47411	9.32014	10.5379	8.90545	8.87876	9.10005	9.10176	8.66616	8.4325	8.38278	9.87025	9.20271	8.70678	8.98852	9.21022	8.73541	8.55592	10.3414	8.18249	8.44063	8.32536	8.41996	8.63976	8.43621	8.56721	8.65153	8.44927	8.36875	8.58859	8.34454	8.41866	8.33574	8.64802	8.67485	8.44422	8.61269	8.45552	8.51372	8.58814	8.87199	8.65923	8.67427	8.62237	8.65788	8.29513	8.2229	8.325	8.74979	8.67142
201530_x_at	10.6749	10.8465	11.8904	11.0223	10.9298	10.8348	11.1824	10.6776	10.9831	11.3762	11.191	11.1024	10.9129	10.8975	10.8753	11.2344	11.0417	12.3368	8.47077	8.47772	8.31986	9.03498	9.14986	8.76874	9.38241	9.18067	8.72292	8.93378	8.46655	8.91862	8.62921	9.08161	9.31248	8.67501	8.71644	9.20879	9.42258	9.12549	9.23045	9.53121	9.23978	9.57876	9.43149	9.20025	8.7984	9.16772	8.78116	8.81848	8.68804
201544_x_at	9.92203	9.94934	11.3109	9.7771	10.0649	9.75147	10.2797	9.85998	9.92874	9.58436	9.88088	10.045	10.0247	10.0833	9.50553	9.58694	9.58532	10.6715	8.85657	8.75095	9.1639	8.93052	9.31113	9.21211	9.20533	8.60258	9.01454	8.37164	9.05994	9.22968	8.87627	8.62817	8.9409	9.10927	9.18223	9.45748	8.92477	9.25817	9.09412	9.10597	9.19341	8.91263	9.05588	8.84238	9.13682	8.45731	8.26919	8.95652	8.16631
201545_s_at	6.86919	7.1799	6.90529	7.24008	7.39332	7.95535	7.28341	8.74984	8.45186	8.60462	8.41269	8.91006	8.04772	8.351	8.61593	8.95255	8.72742	8.42005	8.43161	8.39399	8.52507	7.77621	8.45496	7.94198	8.61305	7.53996	8.21273	7.33253	8.40061	8.44562	8.09918	7.9267	7.97325	7.95067	7.62739	8.63931	7.54768	8.10699	7.99722	8.23529	8.21737	8.04204	7.99272	8.27963	8.43855	8.10215	8.28766	8.4567	8.0816
201601_x_at	10.1683	9.90935	10.2176	9.72157	10.0139	9.74437	9.45933	10.0222	10.082	8.67953	9.0753	9.91422	8.81839	9.89697	9.98161	9.22469	8.96386	10.1045	7.87524	7.57541	7.84858	8.52073	9.10078	8.07419	7.56035	8.02778	8.12112	7.98585	8.03962	6.66682	7.39622	8.8453	9.08719	8.55719	8.8761	8.30822	9.03981	8.60637	7.73071	8.36734	8.953	8.23055	7.75548	8.46194	8.47759	7.77157	8.20691	7.39321	8.13453
201638_s_at	7.40288	7.82973	7.37888	6.79983	7.18014	6.73485	6.85569	7.02894	7.01574	7.25223	6.85363	7.14141	6.85285	6.97403	6.97042	7.0374	7.1762	6.82033	7.95074	7.93587	7.41152	7.49246	7.78296	7.35235	7.6156	7.98768	7.99753	7.73984	8.1371	7.61219	7.62672	7.8847	8.2447	7.96169	8.17546	7.04977	7.46654	7.30732	7.02541	7.24745	7.69588	7.79517	7.586	8.37377	7.9883	7.77539	8.08202	7.9736	7.64555
201639_s_at	7.64041	7.4112	7.47701	6.56621	6.75588	6.33335	6.54913	6.77323	6.94091	6.58606	6.64096	7.12554	6.04927	7.26536	6.88767	6.58514	6.73662	8.51493	6.07811	5.98214	6.24881	5.7262	6.17922	5.90358	5.96567	6.40582	6.14355	5.81496	6.27579	5.94587	5.91635	6.45341	6.37326	6.34203	6.03287	6.17576	6.05842	6.0872	5.86231	5.98501	6.07901	6.14085	6.28457	6.1069	6.51837	6.39261	6.68169	6.25494	6.16674
