cell	longitude	latitude	richness	npp_AVG	temp_AVG	prec_AVG	tempsea_AVG	presea_AVG	ele_RANGE
5070	-82.8	18.2	69	8.35E+11	253.196349	2366.563281	1109.924098	46.74067604	721
5071	-81.8	18.2	63	3.90E+11	252.7197362	2576.709374	1058.344795	49.98414194	116
5147	-89.8	17.2	59	3.99E+11	271.8564938	2014.569103	746.9924271	87.13990913	826
5148	-88.8	17.2	67	6.67E+11	247.718027	1902.001762	664.4204345	91.54409865	2130
5149	-87.8	17.2	72	7.97E+11	232.4135732	1807.89772	866.9351035	90.15783038	2302
5150	-86.8	17.2	77	7.62E+11	225.4941043	1828.4403	1053.796401	87.91038519	2372
5151	-85.8	17.2	81	6.18E+11	221.5699188	1214.289632	1209.296969	80.80959036	2312
5152	-84.8	17.2	78	8.39E+11	228.2276181	1427.023583	1241.748362	64.32657874	1744
5153	-83.8	17.2	74	9.31E+11	243.0322299	2126.77509	1008.502926	58.10481265	1508
5154	-82.8	17.2	66	8.64E+11	253.9510001	2754.536291	873.9951087	52.60153725	774
5155	-81.8	17.2	60	4.85E+11	256.6077052	2937.311223	926.1765494	50.64656616	128
5233	-87.8	16.2	61	4.30E+11	257.3474197	1811.288094	752.8508736	93.47501016	634
5234	-86.8	16.2	66	4.60E+11	260.0177984	1794.397756	817.2718127	96.38769588	2037
5235	-85.8	16.2	78	6.83E+11	261.6848445	1669.606873	890.6834438	93.74936969	1612
5236	-84.8	16.2	77	7.89E+11	221.7199755	1468.903922	898.6111451	74.57743034	1536
5237	-83.8	16.2	73	8.39E+11	245.1945148	2603.038082	917.3788977	60.31618482	1238
5238	-82.8	16.2	68	6.11E+11	258.1812157	2817.735656	817.3196364	58.03985988	168
5319	-85.8	15.2	69	4.92E+11	267.9070881	1435.782704	874.7211275	100.9787904	1634
5320	-84.8	15.2	80	5.75E+11	254.2771421	1280.458643	833.1313652	85.82417678	1132
5321	-83.8	15.2	78	7.17E+11	246.7928203	2387.804874	811.9124814	60.51183509	861
5322	-82.8	15.2	72	6.70E+11	253.4633951	3556.860915	811.7082278	55.5992799	453
5334	-70.8	15.2	114	1.25E+11	280.501845	343.685644	913.2048849	98.63679494	548
5335	-69.8	15.2	119	2.15E+11	278.4580153	401.5750636	1028.923664	78.74554707	124
5336	-68.8	15.2	118	73056792576	274.0215332	477.9009475	985.2825151	72.38845823	231
5403	-85.8	14.2	64	4.34E+11	269.7798742	1472.232704	840.7115903	102.6513926	760
5404	-84.8	14.2	83	4.36E+11	264.9131444	1656.417255	788.0869523	83.19005707	1446
5405	-83.8	14.2	79	6.43E+11	254.1852564	2388.260896	716.6356014	62.97336012	534
5406	-82.8	14.2	75	5.73E+11	254.5705479	4181.19863	710.4570776	48.82100457	656
5415	-73.8	14.2	113	1.68E+11	252.0847458	1430.031073	522.2951977	73.64124294	2689
5416	-72.8	14.2	117	3.18E+11	265.1978738	1626.736626	657.7644033	77.06207133	1901
5417	-71.8	14.2	123	3.60E+11	282.3611389	730.2263374	833.1692804	89.89066845	969
5418	-70.8	14.2	121	80894697062	282.9104154	442.4212647	813.3133912	101.216987	548
5419	-69.8	14.2	120	1.08E+11	277.3771162	467.068885	1007.548161	83.97956801	585
5420	-68.8	14.2	120	3.64E+11	261.1006263	715.3457203	968.5009047	53.99151009	1401
5421	-67.8	14.2	119	4.57E+11	262.7605559	1141.196152	637.3987173	51.86424372	388
5488	-84.8	13.2	84	6.08E+11	252.532659	1971.188399	751.3446259	79.71813307	1842
5489	-83.8	13.2	99	6.49E+11	251.5012665	3194.131103	690.928378	46.28806009	1998
5490	-82.8	13.2	91	5.13E+11	259.5590536	4668.219202	710.117325	35.90711772	334
5498	-74.8	13.2	110	3.65E+11	276.5021087	1085.574039	425.5	74.09465792	438
5499	-73.8	13.2	116	6.01E+11	269.8655762	1269.15736	449.8542959	72.68104907	2839
5500	-72.8	13.2	118	4.47E+11	185.2043847	1926.264914	579.9569395	62.09948467	5353
5501	-71.8	13.2	123	7.77E+11	251.8414709	1266.305442	631.5339331	63.24823129	3271
5502	-70.8	13.2	122	3.92E+11	277.508602	784.8162242	617.3055714	69.69180813	588
5503	-69.8	13.2	122	4.27E+11	244.3193292	843.7861822	679.7106297	67.59874225	1911
5504	-68.8	13.2	121	6.00E+11	239.5213556	823.8238274	688.6387457	50.42562669	1590
5505	-67.8	13.2	123	5.90E+11	256.4105895	1286.318667	531.2855742	45.48694693	1883
5506	-66.8	13.2	119	3.37E+11	207.5295601	1088.518633	720.9254693	49.02689829	2315
5507	-65.8	13.2	118	6.72E+11	238.5470947	1370.702839	807.1825418	48.36428761	2448
5509	-63.8	13.2	118	2.45E+11	262.4369838	786.7554758	675.9518851	60.10664273	971
5510	-62.8	13.2	120	8.63E+11	258.5311256	1276.204488	668.6438654	53.87115454	977
5511	-61.8	13.2	117	3.92E+11	253.6804475	1533.709144	630.6342412	48.98735409	1121
5572	-84.8	12.2	73	4.40E+11	258.0469043	2024.120638	771.4341463	85.45178236	901
5573	-83.8	12.2	100	3.78E+11	217.8553048	2699.359236	656.857245	66.17124477	3115
5574	-82.8	12.2	100	4.32E+11	213.9786915	3296.041317	662.6838735	34.92046819	3691
5575	-81.8	12.2	88	3.49E+11	258.0258503	2460.590476	672.3306122	26.09931973	812
5578	-78.8	12.2	83	64026238976	259.9549945	2949.427003	703.1273326	51.38858397	925
5582	-74.8	12.2	114	4.35E+11	273.6349277	1258.520556	480.6973227	58.40461521	713
5583	-73.8	12.2	116	7.61E+11	276.458468	1352.182636	486.6248581	54.57847847	905
5584	-72.8	12.2	124	6.98E+11	247.3540047	1718.068041	520.3407284	55.92086645	3493
5585	-71.8	12.2	121	6.75E+11	269.9203894	1557.718551	538.1147647	54.51476474	3273
